"","activity","subject","average"
"145","Standing",25,-0.571357935253078
"146","Standing",26,-0.570932291175317
"147","Standing",27,-0.5678191616517
"148","Standing",28,-0.573499385856676
"149","Standing",29,-0.568651171953887
"150","Standing",30,-0.579080426690232
"151","Laying",1,-0.521033388800365
"152","Laying",2,-0.550182863953901
"153","Laying",3,-0.554844445297353
"154","Laying",4,-0.556225460503712
"155","Laying",5,-0.551680909926322
"156","Laying",6,-0.538565829095587
"157","Laying",7,-0.570168341813235
"158","Laying",8,-0.552484248654061
"159","Laying",9,-0.576140579950362
"160","Laying",10,-0.544768735912951
"161","Laying",11,-0.552569731626979
"162","Laying",12,-0.55555830797007
"163","Laying",13,-0.559679898689428
"164","Laying",14,-0.566539566359065
"165","Laying",15,-0.563026170147747
"166","Laying",16,-0.575637769264657
"167","Laying",17,-0.557252448721013
"168","Laying",18,-0.55189398443311
"169","Laying",19,-0.557169751879306
"170","Laying",20,-0.558401909303655
"171","Laying",21,-0.570061754826755
"172","Laying",22,-0.552865153039318
"173","Laying",23,-0.554097661562837
"174","Laying",24,-0.554251426367397
"175","Laying",25,-0.524717112914799
"176","Laying",26,-0.550112545775807
"177","Laying",27,-0.550491894942597
"178","Laying",28,-0.571611706715866
"179","Laying",29,-0.543617758596031
"180","Laying",30,-0.565878284133239
